id_risp,id_aisp,id_cisp,id_municipio,unidade_territorial,regiao
5,28,90,3300407,Antonio Rocha; Floriano; Nossa Senhora do Amparo; Rialto e Regiões Administrativas I; II; III; IV; V; VI; VII; VIII; IX; X; XI; XII; XIII; XIV,Médio Paraíba
5,28,101,3303955,Pinheiral,Médio Paraíba
5,33,166,3300100,Angra dos Reis; Jacuecanga; Cunhambebe; Mambucaba; Abraão e Praia de Araçatiba,Costa Verde
5,33,165,3302601,Mangaratiba; Conceição de Jacareí; Vila Muriquí; Itacuruçá,Costa Verde
5,33,167,3303807,Paraty; Paraty-Mirim e Tarituba,Costa Verde
5,37,100,3304128,Quatis; Falcão e Ribeirão de São Joaquim,Médio Paraíba
5,37,89,3304201,Resende; Engenheiro Passos; Agulhas Negras; Pedra Selada e Fumaça,Médio Paraíba
5,37,100,3304110,Porto Real,Médio Paraíba
5,37,99,3302254,Itatiaia,Médio Paraíba
6,29,138,3302304,Laje do Muriaé,Noroeste Fluminense
6,29,140,3306156,Varre-Sai,Noroeste Fluminense
6,29,148,3301157,Cardoso Moreira e São Joaquim,Norte Fluminense
6,29,148,3302056,Italva,Noroeste Fluminense
6,29,139,3304102,Porciúncula; Purilândia e Santa Clara,Noroeste Fluminense
6,29,144,3300605,Bom Jesus de Itabapoana; Carabuçú; Calheiros; Pirapetinga de Bom Jesus; Rosal e Serrinha,Noroeste Fluminense
6,29,143,3305133,São José de Ubá,Noroeste Fluminense
6,29,143,3302205,Itaperuna; Boaventura; Nossa Senhora da Penha; Itajara; Retiro do Muriaé; Raposo e Comendador Venâncio,Noroeste Fluminense
6,29,140,3303104,Natividade; Ourania e Bom Jesus do Querendo,Noroeste Fluminense
6,32,122,3301405,Conceição de Macabú e Macabuzinho,Norte Fluminense
6,32,121,3301306,Casimiro de Abreu; Professor Souza; Barra de São João e Rio Dourado,Baixadas Litorâneas
6,32,123,3302403,Centro; Cabiúnas; Barra de Macaé; Aeroporto e Imboassica,Norte Fluminense
6,32,130,3304151,Quissamã,Norte Fluminense
6,32,128,3304524,Rio das Ostras,Baixadas Litorâneas
6,32,130,3300936,Centro; UB-S; Rodagem; Carapebus e Praia de Carapebus,Norte Fluminense
6,36,136,3300159,Aperibé,Noroeste Fluminense
6,36,155,3305307,São Sebastião do Alto; Valão do Barro e Ipituna,Serrana
6,36,135,3302106,Itaocara; Portela; Batatal; Laranjais; Jaguarembe e Estrada Nova,Noroeste Fluminense
6,36,136,3304706,Santo Antônio de Pádua; Campelo; Paraoquena; Monte Alegre; Ibitiguaçú; Santa Cruz; Baltazar; Marangatú e São Pedro de Alcântara,Noroeste Fluminense
6,36,142,3300902,Cambuci; Três Irmãos; Funil; Monte Verde e São João do Paraíso,Noroeste Fluminense
6,36,137,3303005,Miracema; Venda das Flores e Paraíso do Tobias,Noroeste Fluminense
6,8,134,3301009,Campos dos Goytacazes (Primeiro Subdistrito; Segundo Subdistrito e Quarto Subdistrito); Ibitioca; Dores de Macabu; Morangaba; Mussurepe; Serrinha; Santo Amaro de Campos; São Sebastião de Campos e Tocos,Norte Fluminense
6,8,141,3304805,São Fidelis; Cambiasca; Colonia; Ipuca e Pureza,Norte Fluminense
6,8,147,3304755,São Francisco de Itabapoana; Maniva e Barra Seca,Norte Fluminense
6,8,146,3301009,Campos dos Goytacazes (Terceiro Subdistrito); Santa Maria; Morro do Coco; Santo Eduardo; Travessão e Vila Nova de Campos,Norte Fluminense
6,8,145,3305000,Barcelos; Atafona; São João da Barra; Grussaí; Cajueiro e Pipeiras,Norte Fluminense
7,11,152,3301603,Duas Barras e Monnerat,Serrana
7,11,158,3300506,Bom Jardim; Banquete; Barra Alegre e São José do Ribeirão,Serrana
7,11,154,3301504,Cordeiro,Serrana
7,11,151,3303401,Nova Friburgo; São Pedro da Serra; Lumiar; Amparo; Riograndina; Conselheiro Paulino e Campo do Coelho,Serrana
7,11,153,3301108,Cantagalo; Santa Rita da Floresta; Boa Sorte; Euclidelândia e São Sebastião do Paraíba,Serrana
7,11,154,3302452,Macuco,Serrana
7,11,156,3304607,Santa Maria Madalena; Doutor Loreti; Renascença; Santo Antônio do Imbé; Sossego e Triunfo,Serrana
7,11,157,3305901,Trajano de Moraes; Doutor Elias; Sodrelândia; Vila da Grama e Visconde de Imbé,Serrana
7,26,105,3303906,Petrópolis e Cascatinha,Metropolitana
7,26,106,3303906,Itaipava; Pedro do Rio e Posse,Metropolitana
7,30,111,3305703,Sumidouro,Serrana
7,30,104,3305158,São José do Vale do Rio Preto,Serrana
7,30,112,3301207,Carmo; Córrego da Prata e Porto Velho do Cunha,Serrana
7,30,110,3305802,Teresópolis; Vale do Bonsucesso e Vale do Paquequer,Serrana
7,38,108,3300225,Areal,Centro-Sul Fluminense
7,38,109,1507755,Sapucaia; Anta; Pião; Nossa Senhora Aparecida e Jamapara,Centro-Sul Fluminense
7,38,108,3300951,Comendador Levy Gasparian e Afonso Arinos,Centro-Sul Fluminense
7,38,107,3303708,Paraíba do Sul; Werneck; Salutaris e Inconfidência,Centro-Sul Fluminense
7,38,108,3306008,Três Rios e Bemposta,Centro-Sul Fluminense
